Lần chạy,"Phân
công","Ngày
thực hiện",Kernel,Tập đánh giá,Tham Số,,Error(0.0->1.0),,Accuracy(%),,Running time(s),Note,
,,,,,C,Gamma,IN,OUT,IN,OUT,,,
14,T,8/21/2020,,,45,0.02,0.000000,0.014800,100.00%,98.52%,429.5976897,Tốt nhất,Execution Time: 429.5976896600041 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
15,T,8/21/2020,,,55,,0.000000,0.014800,100.00%,98.52%,481.1759108,Tốt nhất,Execution Time: 481.1759107980033 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
16,T,8/21/2020,,,65,,0.000000,0.014800,100.00%,98.52%,486.6618719,Tốt nhất,Execution Time: 486.6618718739992 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
17,T,8/21/2020,,,75,,0.000000,0.014800,100.00%,98.52%,415.9549642,Tốt nhất,Execution Time: 415.9549642219936 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
18,T,8/21/2020,,,85,,0.000000,0.014800,100.00%,98.52%,475.0511987,Tốt nhất,Execution Time: 475.05119873 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
19,T,8/21/2020,,,95,,0.000000,0.014800,100.00%,98.52%,468.682198,Tốt nhất,Execution Time: 468.68219797300117 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
20,T,8/21/2020,,,100,,0.000000,0.014800,100.00%,98.52%,474.0534747,Tốt nhất,Execution Time: 474.05347471700003 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
21,T,8/21/2020,,,101,,0.000000,0.014800,100.00%,98.52%,476.2498275,Tốt nhất,Execution Time: 476.2498274890004 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
22,T,8/21/2020,,,120,,0.000000,0.014800,100.00%,98.52%,476.6455749,Tốt nhất,Execution Time: 476.64557488399987 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
23,T,8/21/2020,,,200,,0.000000,0.014800,100.00%,98.52%,486.5874528,Tốt nhất,Execution Time: 486.5874527550002 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
24,T,8/21/2020,,,500,,0.000000,0.014800,100.00%,98.52%,484.2007319,Tốt nhất,Execution Time: 484.20073189899995 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
25,T,8/21/2020,,,1000,,0.000000,0.014800,100.00%,98.52%,477.0616924,Tốt nhất,Execution Time: 477.06169244600005 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
26,T,8/21/2020,,,5000,,0.000000,0.014800,100.00%,98.52%,483.9532584,Tốt nhất,Execution Time: 483.9532583609998 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
27,T,8/21/2020,,,10000,,0.000000,0.014800,100.00%,98.52%,478.8705839,Tốt nhất,Execution Time: 478.8705839310005 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
28,T,8/21/2020,,,50000,,0.000000,0.014800,100.00%,98.52%,483.0120168,Tốt nhất,Execution Time: 483.01201676300025 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
29,T,8/21/2020,,,100000,,0.000000,0.014800,100.00%,98.52%,484.0668655,Tốt nhất,Execution Time: 484.066865453 Accuracy on Training set : 1.0 Accuracy on Test set : 0.9852
